Método, 100, 200, 500, 1000, 2000, 5000, 7500, 10000, 15000, 30000, 50000, 75000, 100000, 200000, 500000, 750000, 1000000, 1250000, 1500000, 2000000
BubbleSort
 Tempo(sec), 0.000055, 0.000182, 0.001026, 0.003515, 0.013119, 0.080432, 0.190924, 0.330988, 0.744044, 3.366610, 9.320987, 22.420674, 37.143061, 141.330572, 926.516112, 
 Swaps, 1412, 2997, 6390, 14432, 29278, 78757, 127915, 189215, 220272, 476173, 500505, 535207, 555524, 633324, 445301, 
 Comparações, 9900, 39800, 249500, 999000, 3998000, 24995000, 56242500, 99990000, 224985000, 899970000, 2499950000, 5624925000, 9999900000, 39999800000, 249999500000, 

InsertionSort
 Tempo(sec), 
 Swaps, 
 Comparações, 

SelectionSort
 Tempo(sec), 
 Swaps, 
 Comparações, 

MergeSort
 Tempo(sec), 
 Swaps, 
 Comparações, 

QuickSort
 Tempo(sec), 
 Swaps, 
 Comparações, 

CountingSort
 Tempo(sec), 
 Swaps, 
 Comparações, 

BucketSort
 Tempo(sec), 
 Swaps, 
 Comparações, 

